oog,name,additional_storage,bundles,ptype,cfs_activity,category_id/id,active_reefer,hazardous_class,status_id/id,size_id/id,sub_category_id/id,id
0,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO-DESTUFFING PORT YARD DANGEROUS PRODUCTS 40' FULL,0,0,generic,1,lct_product_category_import,0,1,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitcoastal,nctransit_i_cdsport_yard_dangerous_p_40_f_j17
0,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO - LOADING ON TRUCK DANGEROUS PRODUCTS 20' FULL,0,0,generic,0,lct_product_category_import,0,1,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitcoastal,nctransit_i_cargoloading_ot_dangerous_p_20_f_j17
0,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO - LOADING ON TRUCK DANGEROUS PRODUCTS 40' FULL,0,0,generic,0,lct_product_category_import,0,1,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitcoastal,nctransit_i_cargoloading_ot_dangerous_p_40_f_j17
1,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO-DESTUFFING PORT YARD Out Of Gauge (OOG) 20' FULL,0,0,generic,1,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitcoastal,nctransit_i_cdsport_yard_out_of_gauge_oog_20_f_j17
1,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO-DESTUFFING PORT YARD Out Of Gauge (OOG) 40' FULL,0,0,generic,1,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitcoastal,nctransit_i_cdsport_yard_out_of_gauge_oog_40_f_j17
1,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO - LOADING ON TRUCK Out Of Gauge (OOG) 20' FULL,0,0,generic,0,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitcoastal,nctransit_i_cargoloading_ot_out_of_gauge_oog_20_f_j17
1,NEIGHBORING COUNTRIES TRANSIT IMPORT CARGO - LOADING ON TRUCK Out Of Gauge (OOG) 40' FULL,0,0,generic,0,lct_product_category_import,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitcoastal,nctransit_i_cargoloading_ot_out_of_gauge_oog_40_f_j17
0,LOCAL EXPORT-STUFFING INSIDE PORT YARD 20' FULL,0,0,generic,1,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_localimport,local_exportstuffing_ipy_20_f_j17
0,LOCAL EXPORT-STUFFING INSIDE PORT YARD 40' FULL,0,0,generic,1,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_localimport,local_exportstuffing_ipy_40_f_j17
0,LOCAL EXPORT-STUFFING INSIDE PORT YARD REEFER 20' FULL,0,0,generic,1,lct_product_category_export,1,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_localimport,local_exportstuffing_ipy_reefer_20_f_j17
